reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rbp,<unknown>,0x0,undefined source for rbp,attack_05,0x14b9,push %rbp,No,OK,,unknown,-
rsp,attack_05,0x14b9,push %rbp,attack_05,0x14ba,"mov %rsp,%rbp",No,OK,,local,-
rsp,attack_05,0x14b9,push %rbp,attack_05,0x14bd,"sub $0x10,%rsp",No,OK,,local,-
rax,attack_05,0x14c1,"lea 0xc0c(%rip),%rax",attack_05,0x14c8,"mov %rax,%rdi",No,OK,,local,-
rax,attack_05,0x14d0,call 14a4 <a05_get_ptr>,attack_05,0x14d5,"mov %rax,-0x8(%rbp)",No,OK,,synthetic,-
rbp,attack_05,0x14ba,"mov %rsp,%rbp",attack_05,0x14d5,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rax,attack_05,0x14d9,"mov 0x2ba1(%rip),%eax",attack_05,0x14df,"cmp $0x1,%eax",No,OK,,local,-
rax,attack_05,0x14e4,"mov 0x2acd(%rip),%rax",attack_05,0x14eb,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,attack_05,0x14ba,"mov %rsp,%rbp",attack_05,0x14eb,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,attack_05,0x14ba,"mov %rsp,%rbp",attack_05,0x14ef,"mov -0x8(%rbp),%rax",No,OK,,local,-
rax,attack_05,0x14ef,"mov -0x8(%rbp),%rax",attack_05,0x14f3,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x14ef,local,reg_based
rax,attack_05,0x14e4,"mov 0x2acd(%rip),%rax",attack_05,0x14f3,call *%rax,No,WARNING,indirect call reg_based target rax L2: defined at 0x14e4,local,reg_based
data_segment,attack_05,0x14e4,← data segment [rip+0x2acd],attack_05,0x14f3,call *%rax,No,WARNING,indirect call reg_based target rax L3: terminal (param) at attack_05,synthetic,reg_based
rbp,attack_05,0x14ba,"mov %rsp,%rbp",attack_05,0x14f6,leave,No,OK,,local,-
rsp,attack_05,0x14f6,leave,attack_05,0x14f7,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,attack_06,0x14fc,push %rbp,No,OK,,unknown,-
rsp,attack_06,0x14fc,push %rbp,attack_06,0x14fd,"mov %rsp,%rbp",No,OK,,local,-
rsp,attack_06,0x14fc,push %rbp,attack_06,0x1500,"sub $0x10,%rsp",No,OK,,local,-
rax,attack_06,0x1504,"lea 0xbe2(%rip),%rax",attack_06,0x150b,"mov %rax,%rdi",No,OK,,local,-
rax,attack_06,0x1518,call 11a0 <malloc@plt>,attack_06,0x151d,"mov %rax,-0x8(%rbp)",No,OK,,synthetic,-
rbp,attack_06,0x14fd,"mov %rsp,%rbp",attack_06,0x151d,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,attack_06,0x14fd,"mov %rsp,%rbp",attack_06,0x1521,"cmpq $0x0,-0x8(%rbp)",No,OK,,local,-
rbp,attack_06,0x14fd,"mov %rsp,%rbp",attack_06,0x1528,"mov -0x8(%rbp),%rax",No,OK,,local,-
rdx,attack_06,0x152c,"mov 0x2a75(%rip),%rdx",attack_06,0x1533,"mov %rdx,(%rax)",No,OK,,local,-
rax,attack_06,0x1528,"mov -0x8(%rbp),%rax",attack_06,0x1533,"mov %rdx,(%rax)",No,OK,,local,-
rax,attack_06,0x1536,"mov 0x2b44(%rip),%eax",attack_06,0x153c,"cmp $0x1,%eax",No,OK,,local,-
rbp,attack_06,0x14fd,"mov %rsp,%rbp",attack_06,0x1541,"mov -0x8(%rbp),%rax",No,OK,,local,-
rdx,attack_06,0x1545,"mov 0x2a8c(%rip),%rdx",attack_06,0x154c,"mov %rdx,(%rax)",No,OK,,local,-
rax,attack_06,0x1541,"mov -0x8(%rbp),%rax",attack_06,0x154c,"mov %rdx,(%rax)",No,OK,,local,-
rbp,attack_06,0x14fd,"mov %rsp,%rbp",attack_06,0x154f,"mov -0x8(%rbp),%rax",No,OK,,local,-
rax,attack_06,0x154f,"mov -0x8(%rbp),%rax",attack_06,0x1553,"mov (%rax),%rax",No,OK,,local,-
rax,attack_06,0x1553,"mov (%rax),%rax",attack_06,0x1556,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1553,local,reg_based
rax,attack_06,0x154f,"mov -0x8(%rbp),%rax",attack_06,0x1556,call *%rax,No,WARNING,indirect call reg_based target rax L2: defined at 0x154f,local,reg_based
rax,attack_06,0x1518,call 11a0 <malloc@plt>,attack_06,0x1556,call *%rax,No,WARNING,indirect call reg_based target rax L3: defined at 0x1518,synthetic,reg_based
rbp,attack_06,0x14fd,"mov %rsp,%rbp",attack_06,0x1558,"mov -0x8(%rbp),%rax",No,OK,,local,-
rax,attack_06,0x1558,"mov -0x8(%rbp),%rax",attack_06,0x155c,"mov %rax,%rdi",No,OK,,local,-
rbp,attack_06,0x14fd,"mov %rsp,%rbp",attack_06,0x1567,leave,No,OK,,local,-
rsp,attack_06,0x1567,leave,attack_06,0x1568,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,a07_init_table,0x156d,push %rbp,No,OK,,unknown,-
rsp,a07_init_table,0x156d,push %rbp,a07_init_table,0x156e,"mov %rsp,%rbp",No,OK,,local,-
rax,a07_init_table,0x1571,"mov 0x2a38(%rip),%rax",a07_init_table,0x1578,"mov %rax,0x2b11(%rip)",No,OK,,local,-
rax,a07_init_table,0x157f,"mov 0x2a42(%rip),%rax",a07_init_table,0x1586,"mov %rax,0x2b0b(%rip)",No,OK,,local,-
rax,a07_init_table,0x158d,"mov 0x2a14(%rip),%rax",a07_init_table,0x1594,"mov %rax,0x2b05(%rip)",No,OK,,local,-
rsp,a07_init_table,0x156d,push %rbp,a07_init_table,0x159c,pop %rbp,No,OK,,local,-
rsp,a07_init_table,0x156d,push %rbp,a07_init_table,0x159d,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,attack_07,0x15a2,push %rbp,No,OK,,unknown,-
rsp,attack_07,0x15a2,push %rbp,attack_07,0x15a3,"mov %rsp,%rbp",No,OK,,local,-
rsp,attack_07,0x15a2,push %rbp,attack_07,0x15a6,"sub $0x10,%rsp",No,OK,,local,-
rax,attack_07,0x15aa,"lea 0xb57(%rip),%rax",attack_07,0x15b1,"mov %rax,%rdi",No,OK,,local,-
rbp,attack_07,0x15a3,"mov %rsp,%rbp",attack_07,0x15be,"movl $0x1,-0x4(%rbp)",No,OK,,local,-
rax,attack_07,0x15c5,"mov 0x2ab5(%rip),%eax",attack_07,0x15cb,"cmp $0x1,%eax",No,OK,,local,-
rax,attack_07,0x15d0,"mov 0x29e1(%rip),%rax",attack_07,0x15d7,"mov %rax,0x2aba(%rip)",No,OK,,local,-
rbp,attack_07,0x15a3,"mov %rsp,%rbp",attack_07,0x15de,"mov -0x4(%rbp),%eax",No,OK,,local,-
rax,attack_07,0x15eb,"lea 0x2a9e(%rip),%rax",attack_07,0x15f6,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x15eb,local,reg_based
data_segment,attack_07,0x15eb,← data segment [rip+0x2a9e],attack_07,0x15f6,call *%rax,No,WARNING,indirect call reg_based target rax L2: terminal (param) at attack_07,synthetic,reg_based
