function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
test02_local_fptr@plt,0x235a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test10_volatile@plt,0x2360,endbr64,-,-,No,No,No,-,none,OK,none
test10_volatile@plt,0x2364,jmp *0x2d2e(%rip),-,-,No,Yes,No,got_based,low,OK,none
test10_volatile@plt,0x236a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test09_multiarg@plt,0x2370,endbr64,-,-,No,No,No,-,none,OK,none
test09_multiarg@plt,0x2374,jmp *0x2d26(%rip),-,-,No,Yes,No,got_based,low,OK,none
test09_multiarg@plt,0x237a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test05_vtable@plt,0x2380,endbr64,-,-,No,No,No,-,none,OK,none
test05_vtable@plt,0x2384,jmp *0x2d1e(%rip),-,-,No,Yes,No,got_based,low,OK,none
test05_vtable@plt,0x238a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test07_indirect_jump@plt,0x2390,endbr64,-,-,No,No,No,-,none,OK,none
test07_indirect_jump@plt,0x2394,jmp *0x2d16(%rip),-,-,No,Yes,No,got_based,low,OK,none
test07_indirect_jump@plt,0x239a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
attack_a1_global_hijack@plt,0x23a0,endbr64,-,-,No,No,No,-,none,OK,none
attack_a1_global_hijack@plt,0x23a4,jmp *0x2d0e(%rip),-,-,No,Yes,No,got_based,low,OK,none
attack_a1_global_hijack@plt,0x23aa,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test14_ret_chain@plt,0x23b0,endbr64,-,-,No,No,No,-,none,OK,none
test14_ret_chain@plt,0x23b4,jmp *0x2d06(%rip),-,-,No,Yes,No,got_based,low,OK,none
test14_ret_chain@plt,0x23ba,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test03_table_fptr@plt,0x23c0,endbr64,-,-,No,No,No,-,none,OK,none
test03_table_fptr@plt,0x23c4,jmp *0x2cfe(%rip),-,-,No,Yes,No,got_based,low,OK,none
test03_table_fptr@plt,0x23ca,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test01_global_fptr@plt,0x23d0,endbr64,-,-,No,No,No,-,none,OK,none
test01_global_fptr@plt,0x23d4,jmp *0x2cf6(%rip),-,-,No,Yes,No,got_based,low,OK,none
test01_global_fptr@plt,0x23da,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test17_nested_struct@plt,0x23e0,endbr64,-,-,No,No,No,-,none,OK,none
test17_nested_struct@plt,0x23e4,jmp *0x2cee(%rip),-,-,No,Yes,No,got_based,low,OK,none
test17_nested_struct@plt,0x23ea,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test16_returned_fptr@plt,0x23f0,endbr64,-,-,No,No,No,-,none,OK,none
test16_returned_fptr@plt,0x23f4,jmp *0x2ce6(%rip),-,-,No,Yes,No,got_based,low,OK,none
test16_returned_fptr@plt,0x23fa,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
attack_a6_heap_callback@plt,0x2400,endbr64,-,-,No,No,No,-,none,OK,none
attack_a6_heap_callback@plt,0x2404,jmp *0x2cde(%rip),-,-,No,Yes,No,got_based,low,OK,none
attack_a6_heap_callback@plt,0x240a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test12_switch@plt,0x2410,endbr64,-,-,No,No,No,-,none,OK,none
test12_switch@plt,0x2414,jmp *0x2cd6(%rip),-,-,No,Yes,No,got_based,low,OK,none
test12_switch@plt,0x241a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x2420,"lea 0x2d41(%rip),%rdi",-,rdi,No,No,No,-,none,OK,none
