jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x276b,call,5,call 2260 <puts@plt>,e8 f0 fa ff ff,函数调用,test08_with_retval,0x2752,,,
0x2784,call,2,call *%rdx,ff d2,间接调用,test08_with_retval,0x2752,,,
0x279d,call,5,call 22b0 <printf@plt>,e8 0e fb ff ff,函数调用,test08_with_retval,0x2752,,,
0x27a4,ret,1,ret,c3,函数返回,test08_with_retval,0x2752,,,
0x27bb,call,5,call 2260 <puts@plt>,e8 a0 fa ff ff,函数调用,test09_multiarg,0x27a5,,,
0x27de,call,2,call *%rax,ff d0,间接调用,test09_multiarg,0x27a5,,,
0x27e2,ret,1,ret,c3,函数返回,test09_multiarg,0x27a5,,,
0x27f9,call,5,call 2260 <puts@plt>,e8 62 fa ff ff,函数调用,test10_volatile,0x27e3,,,
0x280d,call,2,call *%rax,ff d0,间接调用,test10_volatile,0x27e3,,,
0x2811,ret,1,ret,c3,函数返回,test10_volatile,0x27e3,,,
0x2835,call,5,call 22b0 <printf@plt>,e8 76 fa ff ff,函数调用,test11_conditional,0x2812,,,
0x283e,je,2,je 284d <test11_conditional+0x3b>,74 0d,条件跳转,test11_conditional,0x2812,,,
0x284b,jmp,2,jmp 2858 <test11_conditional+0x46>,eb 0b,无条件跳转,test11_conditional,0x2812,,,
0x285c,call,2,call *%rax,ff d0,间接调用,test11_conditional,0x2812,,,
0x2860,ret,1,ret,c3,函数返回,test11_conditional,0x2812,,,
0x2884,call,5,call 22b0 <printf@plt>,e8 27 fa ff ff,函数调用,test12_switch,0x2861,,,
0x2895,je,2,je 28c5 <test12_switch+0x64>,74 2e,条件跳转,test12_switch,0x2861,,,
0x289b,jg,2,jg 28d2 <test12_switch+0x71>,7f 35,条件跳转,test12_switch,0x2861,,,
0x28a1,je,2,je 28ab <test12_switch+0x4a>,74 08,条件跳转,test12_switch,0x2861,,,
0x28a7,je,2,je 28b8 <test12_switch+0x57>,74 0f,条件跳转,test12_switch,0x2861,,,
0x28a9,jmp,2,jmp 28d2 <test12_switch+0x71>,eb 27,无条件跳转,test12_switch,0x2861,,,
0x28b6,jmp,2,jmp 28de <test12_switch+0x7d>,eb 26,无条件跳转,test12_switch,0x2861,,,
0x28c3,jmp,2,jmp 28de <test12_switch+0x7d>,eb 19,无条件跳转,test12_switch,0x2861,,,
0x28d0,jmp,2,jmp 28de <test12_switch+0x7d>,eb 0c,无条件跳转,test12_switch,0x2861,,,
0x28e3,je,2,je 28eb <test12_switch+0x8a>,74 06,条件跳转,test12_switch,0x2861,,,
0x28e9,call,2,call *%rax,ff d0,间接调用,test12_switch,0x2861,,,
0x28ed,ret,1,ret,c3,函数返回,test12_switch,0x2861,,,
0x2913,call,5,call 2260 <puts@plt>,e8 48 f9 ff ff,函数调用,test13_lea_target,0x28ee,,,
