reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rax,test01_global_fptr,0x25da,"mov 0x29d7(%rip),%rax",test01_global_fptr,0x25e4,call *%rax,No,WARNING,indirect call reg_based target rax L2: defined at 0x25da,local,reg_based
data_segment,test01_global_fptr,0x25da,← data segment [rip+0x29d7],test01_global_fptr,0x25e4,call *%rax,No,WARNING,indirect call reg_based target rax L3: terminal (param) at test01_global_fptr,synthetic,reg_based
rsp,test01_global_fptr,0x25c7,push %rbp,test01_global_fptr,0x25e7,pop %rbp,No,OK,,local,-
rsp,test01_global_fptr,0x25c7,push %rbp,test01_global_fptr,0x25e8,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test02_local_fptr,0x25ed,push %rbp,No,OK,,unknown,-
rsp,test02_local_fptr,0x25ed,push %rbp,test02_local_fptr,0x25ee,"mov %rsp,%rbp",No,OK,,local,-
rsp,test02_local_fptr,0x25ed,push %rbp,test02_local_fptr,0x25f1,"sub $0x10,%rsp",No,OK,,local,-
rax,test02_local_fptr,0x25f5,"lea 0xaae(%rip),%rax",test02_local_fptr,0x25fc,"mov %rax,%rdi",No,OK,,local,-
rax,test02_local_fptr,0x2604,"mov 0x29bd(%rip),%rax",test02_local_fptr,0x260b,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test02_local_fptr,0x25ee,"mov %rsp,%rbp",test02_local_fptr,0x260b,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test02_local_fptr,0x25ee,"mov %rsp,%rbp",test02_local_fptr,0x260f,"mov -0x8(%rbp),%rax",No,OK,,local,-
rax,test02_local_fptr,0x260f,"mov -0x8(%rbp),%rax",test02_local_fptr,0x2613,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x260f,local,reg_based
rax,test02_local_fptr,0x2604,"mov 0x29bd(%rip),%rax",test02_local_fptr,0x2613,call *%rax,No,WARNING,indirect call reg_based target rax L2: defined at 0x2604,local,reg_based
data_segment,test02_local_fptr,0x2604,← data segment [rip+0x29bd],test02_local_fptr,0x2613,call *%rax,No,WARNING,indirect call reg_based target rax L3: terminal (param) at test02_local_fptr,synthetic,reg_based
rbp,test02_local_fptr,0x25ee,"mov %rsp,%rbp",test02_local_fptr,0x2616,leave,No,OK,,local,-
rsp,test02_local_fptr,0x2616,leave,test02_local_fptr,0x2617,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test03_table_fptr,0x261c,push %rbp,No,OK,,unknown,-
rsp,test03_table_fptr,0x261c,push %rbp,test03_table_fptr,0x261d,"mov %rsp,%rbp",No,OK,,local,-
rsp,test03_table_fptr,0x261c,push %rbp,test03_table_fptr,0x2620,"sub $0x10,%rsp",No,OK,,local,-
rdi,test03_table_fptr,0x0,<param:rdi>,test03_table_fptr,0x2624,"mov %edi,-0x4(%rbp)",No,OK,,parameter,-
rbp,test03_table_fptr,0x261d,"mov %rsp,%rbp",test03_table_fptr,0x2624,"mov %edi,-0x4(%rbp)",No,OK,,local,-
rbp,test03_table_fptr,0x261d,"mov %rsp,%rbp",test03_table_fptr,0x2627,"mov -0x4(%rbp),%eax",No,OK,,local,-
rax,test03_table_fptr,0x2627,"mov -0x4(%rbp),%eax",test03_table_fptr,0x262a,"mov %eax,%esi",No,OK,,local,-
rax,test03_table_fptr,0x262c,"lea 0xa93(%rip),%rax",test03_table_fptr,0x2633,"mov %rax,%rdi",No,OK,,local,-
rbp,test03_table_fptr,0x261d,"mov %rsp,%rbp",test03_table_fptr,0x2640,"cmpl $0x0,-0x4(%rbp)",No,OK,,local,-
rbp,test03_table_fptr,0x261d,"mov %rsp,%rbp",test03_table_fptr,0x2646,"cmpl $0x3,-0x4(%rbp)",No,OK,,local,-
rbp,test03_table_fptr,0x261d,"mov %rsp,%rbp",test03_table_fptr,0x264c,"mov -0x4(%rbp),%eax",No,OK,,local,-
rax,test03_table_fptr,0x2659,"lea 0x2ae0(%rip),%rax",test03_table_fptr,0x2664,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x2659,local,reg_based
data_segment,test03_table_fptr,0x2659,← data segment [rip+0x2ae0],test03_table_fptr,0x2664,call *%rax,No,WARNING,indirect call reg_based target rax L2: terminal (param) at test03_table_fptr,synthetic,reg_based
rbp,test03_table_fptr,0x261d,"mov %rsp,%rbp",test03_table_fptr,0x2667,leave,No,OK,,local,-
rsp,test03_table_fptr,0x2667,leave,test03_table_fptr,0x2668,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test04_stack_fptr,0x266d,push %rbp,No,OK,,unknown,-
rsp,test04_stack_fptr,0x266d,push %rbp,test04_stack_fptr,0x266e,"mov %rsp,%rbp",No,OK,,local,-
rsp,test04_stack_fptr,0x266d,push %rbp,test04_stack_fptr,0x2671,"sub $0x10,%rsp",No,OK,,local,-
rax,test04_stack_fptr,0x2675,"lea 0xa64(%rip),%rax",test04_stack_fptr,0x267c,"mov %rax,%rdi",No,OK,,local,-
rax,test04_stack_fptr,0x2684,"mov 0x290d(%rip),%rax",test04_stack_fptr,0x268b,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test04_stack_fptr,0x266e,"mov %rsp,%rbp",test04_stack_fptr,0x268b,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test04_stack_fptr,0x266e,"mov %rsp,%rbp",test04_stack_fptr,0x268f,"mov -0x8(%rbp),%rax",No,OK,,local,-
rax,test04_stack_fptr,0x268f,"mov -0x8(%rbp),%rax",test04_stack_fptr,0x2693,"mov %rax,-0x10(%rbp)",No,OK,,local,-
rbp,test04_stack_fptr,0x266e,"mov %rsp,%rbp",test04_stack_fptr,0x2693,"mov %rax,-0x10(%rbp)",No,OK,,local,-
rbp,test04_stack_fptr,0x266e,"mov %rsp,%rbp",test04_stack_fptr,0x2697,"mov -0x10(%rbp),%rax",No,OK,,local,-
rax,test04_stack_fptr,0x2697,"mov -0x10(%rbp),%rax",test04_stack_fptr,0x269b,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x2697,local,reg_based
rax,test04_stack_fptr,0x268f,"mov -0x8(%rbp),%rax",test04_stack_fptr,0x269b,call *%rax,No,WARNING,indirect call reg_based target rax L2: defined at 0x268f,local,reg_based
rax,test04_stack_fptr,0x2684,"mov 0x290d(%rip),%rax",test04_stack_fptr,0x269b,call *%rax,No,WARNING,indirect call reg_based target rax L3: defined at 0x2684,local,reg_based
data_segment,test04_stack_fptr,0x2684,← data segment [rip+0x290d],test04_stack_fptr,0x269b,call *%rax,No,WARNING,indirect call reg_based target rax L4: terminal (param) at test04_stack_fptr,synthetic,reg_based
rbp,test04_stack_fptr,0x266e,"mov %rsp,%rbp",test04_stack_fptr,0x269e,leave,No,OK,,local,-
rsp,test04_stack_fptr,0x269e,leave,test04_stack_fptr,0x269f,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test05_vtable,0x26a4,push %rbp,No,OK,,unknown,-
rsp,test05_vtable,0x26a4,push %rbp,test05_vtable,0x26a5,"mov %rsp,%rbp",No,OK,,local,-
rsp,test05_vtable,0x26a4,push %rbp,test05_vtable,0x26a8,"sub $0x20,%rsp",No,OK,,local,-
rax,test05_vtable,0x26ac,"lea 0xa43(%rip),%rax",test05_vtable,0x26b3,"mov %rax,%rdi",No,OK,,local,-
rax,test05_vtable,0x26bb,"mov 0x28ce(%rip),%rax",test05_vtable,0x26c2,"mov %rax,-0x20(%rbp)",No,OK,,local,-
rbp,test05_vtable,0x26a5,"mov %rsp,%rbp",test05_vtable,0x26c2,"mov %rax,-0x20(%rbp)",No,OK,,local,-
