function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
test_indirect_call,0x11d4,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x11d1; indirect call reg_based target rax L2: defined at 0x11ca; indirect call reg_based target rax L3: defined at 0x11ca
test_indirect_call,0x11d6,nop,-,-,No,No,No,-,none,OK,none
test_indirect_call,0x11d7,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
test_indirect_call,0x11d8,ret,rax,-,No,No,Yes,-,none,OK,none
test_indirect_jump,0x11d9,endbr64,-,-,No,No,No,-,none,OK,none
test_indirect_jump,0x11dd,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_indirect_jump,0x11de,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_indirect_jump,0x11e1,"sub $0x20,%rsp",rsp,rsp,No,No,No,-,none,OK,none
test_indirect_jump,0x11e5,"mov %edi,-0x14(%rbp)","rdi,rbp",-,No,No,No,-,none,OK,none
test_indirect_jump,0x11e8,"mov -0x14(%rbp),%eax",rbp,rax,No,No,No,-,none,OK,none
test_indirect_jump,0x11eb,"mov %eax,%esi",rax,rsi,No,No,No,-,none,OK,none
test_indirect_jump,0x11ed,"lea 0xe50(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_indirect_jump,0x11f4,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_indirect_jump,0x11f7,"mov $0x0,%eax",-,rax,No,No,No,-,none,OK,none
test_indirect_jump,0x11fc,call 10b0 <printf@plt>,-,rax,No,No,No,-,none,OK,none
test_indirect_jump,0x1201,"mov 0x2dd8(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_indirect_jump,0x1208,"mov %rax,-0x8(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
test_indirect_jump,0x120c,"cmpl $0x0,-0x14(%rbp)",rbp,-,No,No,No,-,none,OK,none
test_indirect_jump,0x1210,jne 121d <test_indirect_jump+0x44>,-,-,No,No,No,-,none,OK,none
test_indirect_jump,0x1212,"mov -0x8(%rbp),%rax",rbp,rax,No,No,No,-,none,OK,none
test_indirect_jump,0x1216,"mov $0x1,%edi",-,rdi,No,No,No,-,none,OK,none
test_indirect_jump,0x121b,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x1212; indirect call reg_based target rax L2: defined at 0x1212; indirect call reg_based target rax L3: defined at 0x1212
test_indirect_jump,0x121d,nop,-,-,No,No,No,-,none,OK,none
test_indirect_jump,0x121e,leave,rbp,"rsp,rbp",No,No,No,-,none,OK,none
test_indirect_jump,0x121f,ret,rax,-,No,No,Yes,-,none,OK,none
test_ff_instructions,0x1220,endbr64,-,-,No,No,No,-,none,OK,none
test_ff_instructions,0x1224,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_ff_instructions,0x1225,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_ff_instructions,0x1228,"sub $0x10,%rsp",rsp,rsp,No,No,No,-,none,OK,none
test_ff_instructions,0x122c,"lea 0xe28(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_ff_instructions,0x1233,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_ff_instructions,0x1236,call 10a0 <puts@plt>,-,rax,No,No,No,-,none,OK,none
test_ff_instructions,0x123b,"mov 0x2d96(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_ff_instructions,0x1242,"mov %rax,-0x10(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
test_ff_instructions,0x1246,"mov -0x10(%rbp),%rax",rbp,rax,No,No,No,-,none,OK,none
test_ff_instructions,0x124a,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x1246; indirect call reg_based target rax L2: defined at 0x1246; indirect call reg_based target rax L3: defined at 0x1246
test_ff_instructions,0x124c,"mov 0x2d8d(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_ff_instructions,0x1253,"mov %rax,-0x8(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
