function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
test14_ret_chain_deep@plt,0x1274,jmp *0x2dee(%rip),-,-,No,Yes,No,got_based,low,OK,none
test14_ret_chain_deep@plt,0x127a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test11_conditional_indirect@plt,0x1280,endbr64,-,-,No,No,No,-,none,OK,none
test11_conditional_indirect@plt,0x1284,jmp *0x2de6(%rip),-,-,No,Yes,No,got_based,low,OK,none
test11_conditional_indirect@plt,0x128a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test03_table_fptr_call@plt,0x1290,endbr64,-,-,No,No,No,-,none,OK,none
test03_table_fptr_call@plt,0x1294,jmp *0x2dde(%rip),-,-,No,Yes,No,got_based,low,OK,none
test03_table_fptr_call@plt,0x129a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test12_switch_style@plt,0x12a0,endbr64,-,-,No,No,No,-,none,OK,none
test12_switch_style@plt,0x12a4,jmp *0x2dd6(%rip),-,-,No,Yes,No,got_based,low,OK,none
test12_switch_style@plt,0x12aa,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test07_indirect_jump@plt,0x12b0,endbr64,-,-,No,No,No,-,none,OK,none
test07_indirect_jump@plt,0x12b4,jmp *0x2dce(%rip),-,-,No,Yes,No,got_based,low,OK,none
test07_indirect_jump@plt,0x12ba,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test14_ret_chain@plt,0x12c0,endbr64,-,-,No,No,No,-,none,OK,none
test14_ret_chain@plt,0x12c4,jmp *0x2dc6(%rip),-,-,No,Yes,No,got_based,low,OK,none
test14_ret_chain@plt,0x12ca,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test01_global_fptr_call@plt,0x12d0,endbr64,-,-,No,No,No,-,none,OK,none
test01_global_fptr_call@plt,0x12d4,jmp *0x2dbe(%rip),-,-,No,Yes,No,got_based,low,OK,none
test01_global_fptr_call@plt,0x12da,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test02_local_fptr_call@plt,0x12e0,endbr64,-,-,No,No,No,-,none,OK,none
test02_local_fptr_call@plt,0x12e4,jmp *0x2db6(%rip),-,-,No,Yes,No,got_based,low,OK,none
test02_local_fptr_call@plt,0x12ea,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test17_nested_struct_fptr@plt,0x12f0,endbr64,-,-,No,No,No,-,none,OK,none
test17_nested_struct_fptr@plt,0x12f4,jmp *0x2dae(%rip),-,-,No,Yes,No,got_based,low,OK,none
test17_nested_struct_fptr@plt,0x12fa,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x1300,"lea 0x2e21(%rip),%rdi",-,rdi,No,No,No,-,none,OK,none
deregister_tm_clones,0x1307,"lea 0x2e1a(%rip),%rax",-,rax,No,No,No,-,none,OK,none
deregister_tm_clones,0x130e,"cmp %rdi,%rax","rdi,rax",-,No,No,No,-,none,OK,none
deregister_tm_clones,0x1311,je 1328 <deregister_tm_clones+0x28>,-,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x1313,"mov 0x2c6e(%rip),%rax",-,rax,No,No,No,-,none,OK,none
deregister_tm_clones,0x131a,"test %rax,%rax",rax,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x131d,je 1328 <deregister_tm_clones+0x28>,-,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x131f,jmp *%rax,rax,-,No,Yes,No,reg_based,high,WARNING,indirect jump reg_based target rax L1: defined at 0x1313; indirect jump reg_based target rax L2: terminal (param) at deregister_tm_clones
deregister_tm_clones,0x1321,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x1328,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
deregister_tm_clones,0x1329,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
register_tm_clones,0x1330,"lea 0x2df1(%rip),%rdi",-,rdi,No,No,No,-,none,OK,none
register_tm_clones,0x1337,"lea 0x2dea(%rip),%rsi",-,rsi,No,No,No,-,none,OK,none
register_tm_clones,0x133e,"sub %rdi,%rsi","rdi,rsi",rsi,No,No,No,-,none,OK,none
register_tm_clones,0x1341,"mov %rsi,%rax",rsi,rax,No,No,No,-,none,OK,none
register_tm_clones,0x1344,"shr $0x3f,%rsi",rsi,rsi,No,No,No,-,none,OK,none
register_tm_clones,0x1348,"sar $0x3,%rax",rax,rax,No,No,No,-,none,OK,none
register_tm_clones,0x134c,"add %rax,%rsi","rax,rsi",rsi,No,No,No,-,none,OK,none
register_tm_clones,0x134f,"sar $1,%rsi",rsi,rsi,No,No,No,-,none,OK,none
register_tm_clones,0x1352,je 1368 <register_tm_clones+0x38>,-,-,No,No,No,-,none,OK,none
register_tm_clones,0x1354,"mov 0x2c7d(%rip),%rax",-,rax,No,No,No,-,none,OK,none
register_tm_clones,0x135b,"test %rax,%rax",rax,-,No,No,No,-,none,OK,none
register_tm_clones,0x135e,je 1368 <register_tm_clones+0x38>,-,-,No,No,No,-,none,OK,none
register_tm_clones,0x1360,jmp *%rax,rax,-,No,Yes,No,reg_based,high,WARNING,indirect jump reg_based target rax L1: defined at 0x1354; indirect jump reg_based target rax L2: terminal (param) at register_tm_clones
register_tm_clones,0x1362,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
register_tm_clones,0x1368,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
register_tm_clones,0x1369,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1370,endbr64,-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1374,"cmpb $0x0,0x2dad(%rip)",-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x137b,jne 13a8 <__do_global_dtors_aux+0x38>,-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x137d,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x137e,"cmpq $0x0,0x2c5a(%rip)",-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1386,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1389,je 1397 <__do_global_dtors_aux+0x27>,-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x138b,"mov 0x2d2e(%rip),%rdi",-,rdi,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1392,call 1190 <__cxa_finalize@plt>,-,rax,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1397,call 1300 <deregister_tm_clones>,-,rax,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x139c,"movb $0x1,0x2d85(%rip)",-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x13a3,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x13a4,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
__do_global_dtors_aux,0x13a5,nopl (%rax),-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x13a8,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
__do_global_dtors_aux,0x13a9,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
frame_dummy,0x13b0,endbr64,-,-,No,No,No,-,none,OK,none
frame_dummy,0x13b4,jmp 1330 <register_tm_clones>,-,-,No,No,No,-,none,OK,none
test_target_a,0x13b9,endbr64,-,-,No,No,No,-,none,OK,none
test_target_a,0x13bd,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_target_a,0x13be,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_target_a,0x13c1,"lea 0xc38(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_target_a,0x13c8,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_target_a,0x13cb,call 11b0 <puts@plt>,-,rax,No,No,No,-,none,OK,none
test_target_a,0x13d0,nop,-,-,No,No,No,-,none,OK,none
test_target_a,0x13d1,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
test_target_a,0x13d2,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
test_target_b,0x13d3,endbr64,-,-,No,No,No,-,none,OK,none
test_target_b,0x13d7,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_target_b,0x13d8,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_target_b,0x13db,"lea 0xc2f(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_target_b,0x13e2,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_target_b,0x13e5,call 11b0 <puts@plt>,-,rax,No,No,No,-,none,OK,none
test_target_b,0x13ea,nop,-,-,No,No,No,-,none,OK,none
test_target_b,0x13eb,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
test_target_b,0x13ec,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
test_target_c,0x13ed,endbr64,-,-,No,No,No,-,none,OK,none
test_target_c,0x13f1,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_target_c,0x13f2,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_target_c,0x13f5,"lea 0xc26(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_target_c,0x13fc,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_target_c,0x13ff,call 11b0 <puts@plt>,-,rax,No,No,No,-,none,OK,none
test_target_c,0x1404,nop,-,-,No,No,No,-,none,OK,none
test_target_c,0x1405,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
test_target_c,0x1406,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
test_target_d,0x1407,endbr64,-,-,No,No,No,-,none,OK,none
test_target_d,0x140b,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
