reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rsp,test_ff_instructions,0x1264,push %rbp,test_ff_instructions,0x1268,"sub $0x10,%rsp",No,OK,,local,-
rax,test_ff_instructions,0x126c,"lea 0xde8(%rip),%rax",test_ff_instructions,0x1273,"mov %rax,%rdi",No,OK,,local,-
rax,test_ff_instructions,0x127b,"mov 0x2d3e(%rip),%rax",test_ff_instructions,0x1282,"mov %rax,-0x10(%rbp)",No,OK,,local,-
rbp,test_ff_instructions,0x1265,"mov %rsp,%rbp",test_ff_instructions,0x1282,"mov %rax,-0x10(%rbp)",No,OK,,local,-
rbp,test_ff_instructions,0x1265,"mov %rsp,%rbp",test_ff_instructions,0x1286,"mov -0x10(%rbp),%rax",No,OK,,local,-
rax,test_ff_instructions,0x1286,"mov -0x10(%rbp),%rax",test_ff_instructions,0x128a,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1286,local,reg_based
rax,test_ff_instructions,0x128c,"mov 0x2d35(%rip),%rax",test_ff_instructions,0x1293,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test_ff_instructions,0x1265,"mov %rsp,%rbp",test_ff_instructions,0x1293,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test_ff_instructions,0x1265,"mov %rsp,%rbp",test_ff_instructions,0x1297,"mov -0x8(%rbp),%rax",No,OK,,local,-
rax,test_ff_instructions,0x1297,"mov -0x8(%rbp),%rax",test_ff_instructions,0x12a0,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1297,local,reg_based
rbp,test_ff_instructions,0x1265,"mov %rsp,%rbp",test_ff_instructions,0x12a3,leave,No,OK,,local,-
rsp,test_ff_instructions,0x12a3,leave,test_ff_instructions,0x12a4,ret,No,OK,ret target rsp L1: defined at 0x12a3 (leave),local,ret
rbp,test_ff_instructions,0x1265,"mov %rsp,%rbp",test_ff_instructions,0x12a4,ret,No,OK,"ret target rbp L2: defined at 0x1265 (mov %rsp,%rbp)",local,ret
rsp,test_ff_instructions,0x1264,push %rbp,test_ff_instructions,0x12a4,ret,No,OK,ret target rsp L3: defined at 0x1264 (push %rbp),local,ret
rbp,<unknown>,0x0,undefined source for rbp,test_ifelse,0x12a9,push %rbp,No,OK,,unknown,-
rsp,test_ifelse,0x12a9,push %rbp,test_ifelse,0x12aa,"mov %rsp,%rbp",No,OK,,local,-
rsp,test_ifelse,0x12a9,push %rbp,test_ifelse,0x12ad,"sub $0x10,%rsp",No,OK,,local,-
rdi,test_ifelse,0x0,<param:rdi>,test_ifelse,0x12b1,"mov %edi,-0x4(%rbp)",No,OK,,parameter,-
rbp,test_ifelse,0x12aa,"mov %rsp,%rbp",test_ifelse,0x12b1,"mov %edi,-0x4(%rbp)",No,OK,,local,-
rbp,test_ifelse,0x12aa,"mov %rsp,%rbp",test_ifelse,0x12b4,"cmpl $0x0,-0x4(%rbp)",No,OK,,local,-
eflags,test_ifelse,0x12b4,"cmpl $0x0,-0x4(%rbp)",test_ifelse,0x12b8,jle 12d5 <test_ifelse+0x30>,No,OK,,local,-
rbp,test_ifelse,0x12aa,"mov %rsp,%rbp",test_ifelse,0x12ba,"mov -0x4(%rbp),%eax",No,OK,,local,-
rax,test_ifelse,0x12ba,"mov -0x4(%rbp),%eax",test_ifelse,0x12bd,"mov %eax,%esi",No,OK,,local,-
rax,test_ifelse,0x12bf,"lea 0xdb3(%rip),%rax",test_ifelse,0x12c6,"mov %rax,%rdi",No,OK,,local,-
rbp,test_ifelse,0x12aa,"mov %rsp,%rbp",test_ifelse,0x12d5,"cmpl $0x0,-0x4(%rbp)",No,OK,,local,-
eflags,test_ifelse,0x12d5,"cmpl $0x0,-0x4(%rbp)",test_ifelse,0x12d9,jns 12f6 <test_ifelse+0x51>,No,OK,,local,-
rbp,test_ifelse,0x12aa,"mov %rsp,%rbp",test_ifelse,0x12db,"mov -0x4(%rbp),%eax",No,OK,,local,-
