function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
__do_global_dtors_aux,0x11c4,ret,rsp,rsp,No,Yes,Yes,ret,high,WARNING,ret target rsp L1: defined at 0x119d (push %rbp); ret target rbp L2: no local rsp definition
__do_global_dtors_aux,0x11c5,nopl (%rax),-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x11c8,ret,rsp,rsp,No,Yes,Yes,ret,high,WARNING,ret target rsp L1: no local rsp definition
__do_global_dtors_aux,0x11c9,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
frame_dummy,0x11d0,endbr64,-,-,No,No,No,-,none,OK,none
frame_dummy,0x11d4,jmp 1150 <register_tm_clones>,-,-,No,No,No,-,none,OK,none
test_returns,0x11d9,endbr64,-,-,No,No,No,-,none,OK,none
test_returns,0x11dd,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_returns,0x11de,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_returns,0x11e1,"lea 0xe18(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_returns,0x11e8,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_returns,0x11eb,call 10c0 <puts@plt>,-,rax,No,No,No,-,none,OK,none
test_returns,0x11f0,nop,-,-,No,No,No,-,none,OK,none
test_returns,0x11f1,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
test_returns,0x11f2,ret,rsp,rsp,No,Yes,Yes,ret,high,WARNING,ret target rsp L1: defined at 0x11dd (push %rbp); ret target rbp L2: no local rsp definition
test_indirect_call,0x11f3,endbr64,-,-,No,No,No,-,none,OK,none
test_indirect_call,0x11f7,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_indirect_call,0x11f8,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_indirect_call,0x11fb,"lea 0xe1e(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_indirect_call,0x1202,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_indirect_call,0x1205,call 10c0 <puts@plt>,-,rax,No,No,No,-,none,OK,none
test_indirect_call,0x120a,"mov 0x2dc7(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_indirect_call,0x1211,"mov (%rax),%rax",rax,rax,No,No,No,-,none,OK,none
test_indirect_call,0x1214,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x1211; indirect call reg_based target rax L2: defined at 0x120a; indirect call reg_based target rax L3: defined at 0x120a
test_indirect_call,0x1216,nop,-,-,No,No,No,-,none,OK,none
test_indirect_call,0x1217,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
test_indirect_call,0x1218,ret,rsp,rsp,No,Yes,Yes,ret,high,WARNING,ret target rsp L1: defined at 0x11f7 (push %rbp); ret target rbp L2: no local rsp definition
test_indirect_jump,0x1219,endbr64,-,-,No,No,No,-,none,OK,none
test_indirect_jump,0x121d,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_indirect_jump,0x121e,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
